site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,cardiac_arrest_poa_icu,05041,2023,0,1,,0
UCMC,cardiac_arrest_poa_icu,12035,2019,3,0,0.0,2
UCMC,cardiac_arrest_poa_icu,12086,2024,4,3,0.75,0
UCMC,cardiac_arrest_poa_icu,13097,2020,1,0,0.0,7
UCMC,cardiac_arrest_poa_icu,13121,2023,1,1,1.0,0
UCMC,cardiac_arrest_poa_icu,13135,2020,1,3,3.0,3
UCMC,cardiac_arrest_poa_icu,17007,2024,1,2,2.0,4
UCMC,cardiac_arrest_poa_icu,17019,2019,4,2,0.5,0
UCMC,cardiac_arrest_poa_icu,17019,2024,0,4,,0
UCMC,cardiac_arrest_poa_icu,17031,2018,119,88,0.7394957983193278,4
UCMC,cardiac_arrest_poa_icu,17031,2019,150,91,0.6066666666666667,4
UCMC,cardiac_arrest_poa_icu,17031,2020,182,121,0.6648351648351648,2
UCMC,cardiac_arrest_poa_icu,17031,2021,222,144,0.6486486486486487,5
UCMC,cardiac_arrest_poa_icu,17031,2022,227,155,0.6828193832599119,2
UCMC,cardiac_arrest_poa_icu,17031,2023,226,136,0.6017699115044248,0
UCMC,cardiac_arrest_poa_icu,17031,2024,205,117,0.5707317073170731,1
UCMC,cardiac_arrest_poa_icu,17043,2018,0,3,,0
UCMC,cardiac_arrest_poa_icu,17043,2019,2,4,2.0,2
UCMC,cardiac_arrest_poa_icu,17043,2020,0,1,,7
UCMC,cardiac_arrest_poa_icu,17043,2022,4,2,0.5,0
UCMC,cardiac_arrest_poa_icu,17043,2023,2,3,1.5,2
UCMC,cardiac_arrest_poa_icu,17043,2024,2,0,0.0,4
UCMC,cardiac_arrest_poa_icu,17075,2018,0,2,,2
UCMC,cardiac_arrest_poa_icu,17077,2024,4,1,0.25,0
UCMC,cardiac_arrest_poa_icu,17089,2019,0,4,,3
UCMC,cardiac_arrest_poa_icu,17089,2024,3,1,0.3333333333333333,0
UCMC,cardiac_arrest_poa_icu,17091,2018,0,0,,4
UCMC,cardiac_arrest_poa_icu,17091,2021,2,0,0.0,7
UCMC,cardiac_arrest_poa_icu,17091,2022,2,0,0.0,4
UCMC,cardiac_arrest_poa_icu,17091,2023,0,0,,3
UCMC,cardiac_arrest_poa_icu,17091,2024,3,3,1.0,4
UCMC,cardiac_arrest_poa_icu,17097,2021,1,1,1.0,1
UCMC,cardiac_arrest_poa_icu,17097,2022,2,3,1.5,3
UCMC,cardiac_arrest_poa_icu,17097,2023,2,0,0.0,0
UCMC,cardiac_arrest_poa_icu,17097,2024,5,3,0.6,3
UCMC,cardiac_arrest_poa_icu,17105,2023,1,1,1.0,3
UCMC,cardiac_arrest_poa_icu,17107,2020,0,4,,4
UCMC,cardiac_arrest_poa_icu,17111,2018,1,4,4.0,5
UCMC,cardiac_arrest_poa_icu,17111,2022,0,3,,5
UCMC,cardiac_arrest_poa_icu,17111,2024,0,0,,0
UCMC,cardiac_arrest_poa_icu,17113,2021,0,0,,3
UCMC,cardiac_arrest_poa_icu,17117,2021,0,2,,2
UCMC,cardiac_arrest_poa_icu,17119,2022,1,3,3.0,5
UCMC,cardiac_arrest_poa_icu,17139,2024,0,3,,3
UCMC,cardiac_arrest_poa_icu,17155,2022,3,0,0.0,3
UCMC,cardiac_arrest_poa_icu,17165,2023,4,1,0.25,3
UCMC,cardiac_arrest_poa_icu,17167,2021,3,0,0.0,6
UCMC,cardiac_arrest_poa_icu,17177,2023,3,2,0.6666666666666666,1
UCMC,cardiac_arrest_poa_icu,17179,2024,2,0,0.0,1
UCMC,cardiac_arrest_poa_icu,17183,2020,4,4,1.0,6
UCMC,cardiac_arrest_poa_icu,17183,2023,3,4,1.3333333333333333,1
UCMC,cardiac_arrest_poa_icu,17183,2024,0,2,,0
UCMC,cardiac_arrest_poa_icu,17195,2022,0,0,,3
UCMC,cardiac_arrest_poa_icu,17197,2018,4,3,0.75,2
UCMC,cardiac_arrest_poa_icu,17197,2020,2,0,0.0,4
UCMC,cardiac_arrest_poa_icu,17197,2021,2,0,0.0,4
UCMC,cardiac_arrest_poa_icu,17197,2022,6,4,0.6666666666666666,1
UCMC,cardiac_arrest_poa_icu,17197,2023,6,4,0.6666666666666666,0
UCMC,cardiac_arrest_poa_icu,17197,2024,12,10,0.8333333333333334,4
UCMC,cardiac_arrest_poa_icu,17199,2021,1,2,2.0,1
UCMC,cardiac_arrest_poa_icu,17201,2023,2,3,1.5,4
UCMC,cardiac_arrest_poa_icu,17201,2024,3,1,0.3333333333333333,1
UCMC,cardiac_arrest_poa_icu,17203,2024,4,0,0.0,3
UCMC,cardiac_arrest_poa_icu,18089,2018,10,8,0.8,2
UCMC,cardiac_arrest_poa_icu,18089,2019,8,5,0.625,1
UCMC,cardiac_arrest_poa_icu,18089,2020,5,0,0.0,4
UCMC,cardiac_arrest_poa_icu,18089,2021,8,3,0.375,4
UCMC,cardiac_arrest_poa_icu,18089,2022,6,5,0.8333333333333334,2
UCMC,cardiac_arrest_poa_icu,18089,2023,5,2,0.4,0
UCMC,cardiac_arrest_poa_icu,18089,2024,13,6,0.46153846153846156,1
UCMC,cardiac_arrest_poa_icu,18091,2018,1,3,3.0,0
UCMC,cardiac_arrest_poa_icu,18091,2020,1,0,0.0,3
UCMC,cardiac_arrest_poa_icu,18091,2021,0,0,,1
UCMC,cardiac_arrest_poa_icu,18091,2022,3,1,0.3333333333333333,1
UCMC,cardiac_arrest_poa_icu,18091,2023,3,0,0.0,3
UCMC,cardiac_arrest_poa_icu,18097,2021,2,1,0.5,5
UCMC,cardiac_arrest_poa_icu,18097,2022,4,3,0.75,6
UCMC,cardiac_arrest_poa_icu,18127,2020,0,0,,2
UCMC,cardiac_arrest_poa_icu,18127,2021,0,0,,3
UCMC,cardiac_arrest_poa_icu,18127,2022,6,5,0.8333333333333334,3
UCMC,cardiac_arrest_poa_icu,18127,2023,5,0,0.0,1
UCMC,cardiac_arrest_poa_icu,18127,2024,3,1,0.3333333333333333,4
UCMC,cardiac_arrest_poa_icu,18141,2022,0,0,,6
UCMC,cardiac_arrest_poa_icu,18149,2018,0,0,,2
UCMC,cardiac_arrest_poa_icu,18149,2023,0,0,,2
UCMC,cardiac_arrest_poa_icu,18157,2022,3,0,0.0,2
UCMC,cardiac_arrest_poa_icu,18157,2024,2,4,2.0,1
