county_fips,admit_year,offset
01001,2018,32
01001,2019,26
01001,2020,90
01001,2021,30
01001,2022,46
01001,2023,19
01001,2024,85
01001,2025,63
01003,2018,47
01003,2019,97
01003,2020,98
01003,2021,31
01003,2022,84
01003,2023,10
01003,2024,96
01003,2025,68
01005,2018,24
01005,2019,94
01005,2020,69
01005,2021,85
01005,2022,50
01005,2023,42
01005,2024,42
01005,2025,60
01007,2018,17
01007,2019,71
01007,2020,11
01007,2021,45
01007,2022,78
01007,2023,90
01007,2024,37
01007,2025,35
01009,2018,48
01009,2019,58
01009,2020,46
01009,2021,93
01009,2022,61
01009,2023,71
01009,2024,12
01009,2025,59
01011,2018,97
01011,2019,50
01011,2020,75
01011,2021,38
01011,2022,98
01011,2023,94
01011,2024,96
01011,2025,60
01013,2018,56
01013,2019,68
01013,2020,88
01013,2021,97
01013,2022,43
01013,2023,62
01013,2024,100
01013,2025,40
01015,2018,20
01015,2019,81
01015,2020,28
01015,2021,38
01015,2022,63
01015,2023,21
01015,2024,62
01015,2025,28
01017,2018,95
01017,2019,98
01017,2020,85
01017,2021,74
01017,2022,18
01017,2023,11
01017,2024,14
01017,2025,58
01019,2018,35
01019,2019,55
01019,2020,77
01019,2021,36
01019,2022,22
01019,2023,17
01019,2024,43
01019,2025,63
01021,2018,14
01021,2019,66
01021,2020,93
01021,2021,19
01021,2022,30
01021,2023,50
01021,2024,82
01021,2025,33
01023,2018,29
01023,2019,93
01023,2020,88
01023,2021,18
01023,2022,46
01023,2023,21
01023,2024,79
01023,2025,60
01025,2018,55
01025,2019,23
01025,2020,28
01025,2021,17
01025,2022,69
01025,2023,55
01025,2024,86
01025,2025,18
01027,2018,74
01027,2019,14
01027,2020,87
01027,2021,53
01027,2022,32
01027,2023,31
01027,2024,54
01027,2025,37
01029,2018,78
01029,2019,100
01029,2020,84
01029,2021,87
01029,2022,89
01029,2023,41
01029,2024,34
01029,2025,17
01031,2018,23
01031,2019,67
01031,2020,55
01031,2021,41
01031,2022,77
01031,2023,25
01031,2024,21
01031,2025,64
01033,2018,24
01033,2019,41
01033,2020,74
01033,2021,90
01033,2022,93
01033,2023,79
01033,2024,52
01033,2025,79
01035,2018,65
01035,2019,33
01035,2020,13
01035,2021,18
01035,2022,100
01035,2023,36
01035,2024,81
01035,2025,67
01037,2018,49
01037,2019,52
01037,2020,49
01037,2021,97
01037,2022,92
01037,2023,54
01037,2024,29
01037,2025,90
01039,2018,41
01039,2019,90
01039,2020,16
01039,2021,51
01039,2022,77
01039,2023,51
01039,2024,12
01039,2025,87
01041,2018,83
01041,2019,42
01041,2020,29
01041,2021,58
01041,2022,15
01041,2023,80
01041,2024,89
01041,2025,64
01043,2018,83
01043,2019,43
01043,2020,25
01043,2021,78
01043,2022,32
01043,2023,53
01043,2024,73
01043,2025,30
01045,2018,20
01045,2019,94
01045,2020,34
01045,2021,52
01045,2022,89
01045,2023,18
01045,2024,38
01045,2025,75
01047,2018,40
01047,2019,77
01047,2020,19
01047,2021,29
01047,2022,17
01047,2023,76
01047,2024,61
01047,2025,48
01049,2018,62
01049,2019,100
01049,2020,25
01049,2021,10
01049,2022,15
01049,2023,79
01049,2024,73
01049,2025,81
01051,2018,41
01051,2019,89
01051,2020,84
01051,2021,45
01051,2022,53
01051,2023,94
01051,2024,91
01051,2025,64
01053,2018,76
01053,2019,100
01053,2020,72
01053,2021,36
01053,2022,26
01053,2023,39
01053,2024,46
01053,2025,50
01055,2018,76
01055,2019,96
01055,2020,91
01055,2021,14
01055,2022,61
01055,2023,37
01055,2024,91
01055,2025,76
01057,2018,22
01057,2019,59
01057,2020,52
01057,2021,53
01057,2022,83
01057,2023,53
01057,2024,74
01057,2025,94
01059,2018,20
01059,2019,89
01059,2020,93
01059,2021,38
01059,2022,81
01059,2023,40
01059,2024,48
01059,2025,36
01061,2018,94
01061,2019,11
01061,2020,17
01061,2021,94
01061,2022,67
01061,2023,58
01061,2024,10
01061,2025,96
01063,2018,43
01063,2019,93
01063,2020,69
01063,2021,11
01063,2022,41
01063,2023,58
01063,2024,76
01063,2025,33
01065,2018,76
01065,2019,81
01065,2020,21
01065,2021,31
01065,2022,77
01065,2023,39
01065,2024,86
01065,2025,100
01067,2018,33
01067,2019,33
01067,2020,66
01067,2021,15
01067,2022,16
01067,2023,70
01067,2024,11
01067,2025,23
01069,2018,12
01069,2019,32
01069,2020,67
01069,2021,64
01069,2022,83
01069,2023,79
01069,2024,95
01069,2025,35
01071,2018,81
01071,2019,14
01071,2020,94
01071,2021,69
01071,2022,55
01071,2023,79
01071,2024,44
01071,2025,11
01073,2018,79
01073,2019,72
01073,2020,43
01073,2021,100
01073,2022,55
01073,2023,44
01073,2024,73
01073,2025,20
01075,2018,80
01075,2019,22
01075,2020,34
01075,2021,25
01075,2022,11
01075,2023,86
01075,2024,51
01075,2025,41
01077,2018,83
01077,2019,37
01077,2020,99
01077,2021,70
01077,2022,75
01077,2023,23
01077,2024,88
01077,2025,38
01079,2018,74
01079,2019,30
01079,2020,31
01079,2021,85
01079,2022,11
01079,2023,76
01079,2024,94
01079,2025,86
01081,2018,80
01081,2019,53
01081,2020,18
01081,2021,57
01081,2022,43
01081,2023,91
01081,2024,14
01081,2025,54
